discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.95,0.26,0.66,17,19,0.08090090751647949,maze1339_dim95.txt
0.97,0.29,0.4,15,20,0.07583379745483398,maze1339_dim95.txt
0.97,0.29,0.62,18,6,0.077484130859375,maze1339_dim95.txt
0.97,0.5,0.65,17,14,0.07833218574523926,maze1339_dim95.txt
0.92,0.34,0.85,19,16,0.07843232154846191,maze1339_dim95.txt
0.99,0.14,0.88,16,5,0.07995128631591797,maze1339_dim95.txt
0.91,0.24,0.13,3,20,0.07876729965209961,maze1339_dim95.txt
0.9,0.49,0.34,8,10,0.07984089851379395,maze1339_dim95.txt
0.88,0.63,0.21,8,9,0.07841038703918457,maze1339_dim95.txt
0.95,0.28,0.18,10,10,0.07932472229003906,maze1339_dim95.txt
0.85,0.57,0.24,8,14,0.07995915412902832,maze1339_dim95.txt
0.9,0.53,0.29,20,18,0.07926559448242188,maze1339_dim95.txt
0.91,0.3,0.2,8,18,0.0800628662109375,maze1339_dim95.txt
0.92,0.26,0.31,7,16,0.01933574676513672,maze1220_dim47.txt
0.87,0.33,0.17,15,7,0.019092798233032227,maze1220_dim47.txt
0.97,0.27,0.18,11,11,0.019417524337768555,maze1220_dim47.txt
0.92,0.35,0.59,20,12,0.0191648006439209,maze1220_dim47.txt
0.92,0.1,0.7,16,5,0.019495010375976562,maze1220_dim47.txt
0.82,0.33,0.16,18,20,0.019129514694213867,maze1220_dim47.txt
0.91,0.11,0.89,10,6,0.019458770751953125,maze1220_dim47.txt
0.97,0.25,0.36,8,11,0.019738197326660156,maze1220_dim47.txt
0.84,0.34,0.71,11,10,0.019854307174682617,maze1220_dim47.txt
0.8,0.33,0.22,9,6,0.019039630889892578,maze1220_dim47.txt
0.91,0.63,0.85,13,9,0.019081592559814453,maze1220_dim47.txt
0.88,0.3,0.17,7,20,0.019344806671142578,maze1220_dim47.txt
0.97,0.18,0.11,8,8,0.019301414489746094,maze1220_dim47.txt
0.98,0.52,0.22,9,14,0.019554853439331055,maze1220_dim47.txt
0.93,0.49,0.2,15,8,0.019364118576049805,maze1220_dim47.txt
0.88,0.13,0.14,10,5,0.019423484802246094,maze1220_dim47.txt
0.9,0.49,0.11,4,7,0.019046306610107422,maze1220_dim47.txt
0.96,0.52,0.57,6,5,0.02070760726928711,maze1220_dim47.txt
0.91,0.12,0.22,19,17,0.01912713050842285,maze1220_dim47.txt
0.87,0.13,0.61,11,9,0.018700838088989258,maze1220_dim47.txt
0.86,0.15,0.36,4,11,0.01896190643310547,maze1220_dim47.txt
0.97,0.3,0.13,10,13,0.018755197525024414,maze1220_dim47.txt
0.98,0.32,0.74,10,9,0.019750118255615234,maze1220_dim47.txt
0.96,0.53,0.12,17,18,0.019463300704956055,maze1220_dim47.txt
0.85,0.2,0.52,8,17,0.019216537475585938,maze1220_dim47.txt
0.88,0.55,0.13,19,18,0.019636869430541992,maze1220_dim47.txt
0.9,0.26,0.29,10,14,0.01891183853149414,maze1220_dim47.txt
0.89,0.11,0.85,6,11,0.0197298526763916,maze1220_dim47.txt
0.8,0.17,0.14,15,14,0.019044160842895508,maze1220_dim47.txt
0.88,0.62,0.32,13,9,0.0193631649017334,maze1220_dim47.txt
1.0,0.13,0.84,8,15,0.010280370712280273,maze320_dim33.txt
0.85,0.44,0.65,15,14,0.010131359100341797,maze320_dim33.txt
0.86,0.43,0.16,6,13,0.009540319442749023,maze320_dim33.txt
0.96,0.15,0.63,19,17,0.010418891906738281,maze320_dim33.txt
0.84,0.47,0.42,17,7,0.009368419647216797,maze320_dim33.txt
0.8,0.17,0.56,16,15,0.009683609008789062,maze320_dim33.txt
0.82,0.36,0.52,10,16,0.00964498519897461,maze320_dim33.txt
0.96,0.64,0.3,14,20,0.01111459732055664,maze320_dim33.txt
0.94,0.36,0.73,14,11,0.009638309478759766,maze320_dim33.txt
0.82,0.41,0.53,18,8,0.00953817367553711,maze320_dim33.txt
0.86,0.16,0.18,11,15,0.010263681411743164,maze320_dim33.txt
0.91,0.11,0.16,15,20,0.010081291198730469,maze320_dim33.txt
0.93,0.51,0.71,9,16,0.010074615478515625,maze320_dim33.txt
0.9,0.47,0.11,6,7,0.010706424713134766,maze320_dim33.txt
0.87,0.5,0.58,5,10,0.009827613830566406,maze320_dim33.txt
0.97,0.41,0.68,19,10,0.01051473617553711,maze320_dim33.txt
0.95,0.17,0.49,9,5,0.009491682052612305,maze320_dim33.txt
0.83,0.25,0.46,18,17,0.011015176773071289,maze320_dim33.txt
0.92,0.14,0.71,7,8,0.009461641311645508,maze320_dim33.txt
0.95,0.27,0.65,19,17,0.010673999786376953,maze320_dim33.txt
0.93,0.49,0.2,11,10,0.009667634963989258,maze320_dim33.txt
1.0,0.62,0.78,6,16,0.010193824768066406,maze320_dim33.txt
0.98,0.41,0.29,16,10,0.009443521499633789,maze320_dim33.txt
0.9,0.11,0.23,7,12,0.009438514709472656,maze320_dim33.txt
0.93,0.58,0.29,3,14,0.009670495986938477,maze320_dim33.txt
0.9,0.6,0.86,10,14,0.009866714477539062,maze320_dim33.txt
0.92,0.43,0.51,4,14,0.009977579116821289,maze320_dim33.txt
0.81,0.11,0.37,14,10,0.009470462799072266,maze320_dim33.txt
0.92,0.3,0.26,6,5,0.010607481002807617,maze320_dim33.txt
0.91,0.48,0.41,17,10,0.009840250015258789,maze320_dim33.txt
0.88,0.44,0.63,3,8,0.007762908935546875,maze804_dim30.txt
0.94,0.6,0.41,7,5,0.007832050323486328,maze804_dim30.txt
0.92,0.34,0.74,14,17,0.007980585098266602,maze804_dim30.txt
0.9,0.61,0.79,4,17,0.008159399032592773,maze804_dim30.txt
0.92,0.14,0.49,17,11,0.008484601974487305,maze804_dim30.txt
0.92,0.26,0.34,4,20,0.007952690124511719,maze804_dim30.txt
0.92,0.41,0.63,18,12,0.009150981903076172,maze804_dim30.txt
0.87,0.23,0.13,10,15,0.0076982975006103516,maze804_dim30.txt
0.89,0.55,0.53,4,7,0.007836341857910156,maze804_dim30.txt
0.81,0.42,0.57,10,11,0.00771331787109375,maze804_dim30.txt
1.0,0.18,0.77,10,8,0.007919549942016602,maze804_dim30.txt
0.9,0.35,0.3,15,6,0.007674455642700195,maze804_dim30.txt
0.84,0.43,0.16,14,17,0.007795810699462891,maze804_dim30.txt
0.81,0.62,0.39,19,5,0.007589101791381836,maze804_dim30.txt
0.89,0.22,0.15,9,9,0.0077228546142578125,maze804_dim30.txt
0.84,0.46,0.72,8,9,0.007774829864501953,maze804_dim30.txt
0.99,0.21,0.36,6,9,0.0075876712799072266,maze804_dim30.txt
0.9,0.36,0.44,7,14,0.00773310661315918,maze804_dim30.txt
0.95,0.62,0.5,6,19,0.007896661758422852,maze804_dim30.txt
0.92,0.35,0.36,17,16,0.007807493209838867,maze804_dim30.txt
0.86,0.11,0.52,4,9,0.008003711700439453,maze804_dim30.txt
1.0,0.7,0.28,8,10,0.007939815521240234,maze804_dim30.txt
0.98,0.33,0.34,8,9,0.007654905319213867,maze804_dim30.txt
0.86,0.32,0.32,15,17,0.0079193115234375,maze804_dim30.txt
0.89,0.49,0.73,3,5,0.007677793502807617,maze804_dim30.txt
